Registry,Assignment,Organization Name,Organization Address
MA-S,8C1F64AFA,"DATA ELECTRONIC DEVICES, INC",32 NORTHWESTERN DR SALEM NH US 03079 
MA-S,8C1F649B9,"QUERCUS TECHNOLOGIES, S.L.",Av. Onze de Setembre 19 Reus Tarragona ES 43203 
MA-S,70B3D5060,RCH SPA,Via Cendon 39 Silea  IT 31057 
MA-S,70B3D5786,RCH SPA,Via Cendon 39 Silea  IT 31057 
MA-S,70B3D5F2F,TELEPLATFORMS,"Polbina st., 3/1 Moscow  RU 109388 "
