Registry,Assignment,Organization Name,Organization Address
MA-M,C85CE27,SYNERGY SYSTEMS AND SOLUTIONS,"A1526, GREEN FIELDS COLONY Faridabad HARYANA IN 121001 "
MA-M,741AE09,Private,
MA-M,C85CE2A,"San Telequip (P) Ltd.,","504 505 Deron Heights, Baner Road, Baner Pune Maharashtra IN 411045 "
MA-M,C85CE2D,"UNILUMIN GROUP CO., LTD.","No. 18 Haoye Road, Tongfuyu Industrial Zone, Fuhai Street, Baoan District, Shenzhen Guangdong CN 518000 "
MA-M,C85CE25,Cranns Limited,"Flat H, 11/F, Tower 4, Tivoli Garden, Tsing Yi, N.T. Hong Kong Hong Kong  HK 000000 "
